repetition,batch,batch_size,payment_selection_criteria,payment_selected,AUC_holdout_set,AUC_full_train_set,AUC_partial_train_set_1,AUC_partial_train_set_2,AUC_partial_train_set_3,AUC_train_set_delta_1,AUC_train_set_delta_2,AUC_train_set_delta_3,expected_performance_1,expected_performance_2,expected_performance_3,expected_total_cost_1,expected_total_cost_2,expected_total_cost_3,total_ratio_1,total_ratio_2,total_ratio_3,safety_net
1,1,10,max_total_ratio,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,10,max_total_ratio,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,3,10,max_total_ratio,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,4,10,max_total_ratio,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,5,10,max_total_ratio,0.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,6,10,max_total_ratio,0.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,7,10,max_total_ratio,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,8,10,max_total_ratio,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,9,10,max_total_ratio,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,10,10,max_total_ratio,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,11,10,max_total_ratio,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,12,10,max_total_ratio,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,13,10,max_total_ratio,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,14,10,max_total_ratio,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,15,10,max_total_ratio,0.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,16,10,max_total_ratio,0.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,17,10,max_total_ratio,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,18,10,max_total_ratio,0.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,19,10,max_total_ratio,0.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,20,10,max_total_ratio,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,21,10,max_total_ratio,0.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,22,10,max_total_ratio,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,23,10,max_total_ratio,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,24,10,max_total_ratio,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,25,10,max_total_ratio,0.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,26,10,max_total_ratio,0.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,27,10,max_total_ratio,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,28,10,max_total_ratio,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,29,10,max_total_ratio,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,30,10,max_total_ratio,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,31,10,max_total_ratio,0.14,0.984090164166603,0.695177694075514,0.708401141820493,0.691414803998765,0.706654340129423,-0.0132234477449793,0.00376289007674879,-0.0114766460539096,-99999999.3048223,0.698940584152262,-99999999.3048223,46.9000000000001,48.1000000000001,49.2000000000001,-2132196.14722435,0.0145309892755148,-2032520.31107362,FALSE
1,32,10,max_total_ratio,0.14,0.981824460027975,0.709105641104275,0.724369170613159,0.704519660297595,0.718380126546114,-0.0152635295088832,0.00458598080668005,-0.00927448544183862,-99999999.2908944,0.713691621910955,-99999999.2908944,48.3000000000001,49.5000000000001,50.6000000000001,-2070393.36005992,0.0144180125638576,-1976284.57096629,FALSE
1,33,10,max_total_ratio,0.14,0.985773846375885,0.723452922790675,0.732013858992655,0.715882212296414,0.723719106105799,-0.00856093620197973,0.00757071049426095,-0.00026618331512418,-99999999.2765471,0.731023633284936,-99999999.2765471,49.7000000000001,50.9000000000001,52.0000000000001,-2012072.42005124,0.0143619574319241,-1923076.90916436,FALSE
2,1,10,max_total_ratio,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,2,10,max_total_ratio,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
