instance_num,pay,change,cost_so_far,AUC_holdout,full_AUC,subset_AUC,updated_label,batch,repetition
10,0.02,1,0.2,0.643126138921823,NA,NA,level2,1,1
20,0.25,0,2.7,0.770225430649018,NA,NA,level2,2,1
30,0.02,1,2.9,0.666671050377606,NA,NA,level1,3,1
40,0.25,0,5.4,0.821041745067651,NA,NA,level1,4,1
50,0.14,0,6.8,0.849201355308539,NA,NA,level2,5,1
60,0.14,0,8.2,0.91352691800842,NA,NA,level2,6,1
70,0.25,0,10.7,0.903521603601926,NA,NA,level1,7,1
80,0.02,0,10.9,0.922285572465439,NA,NA,level2,8,1
90,0.25,0,13.4,0.889694030464768,NA,NA,level1,9,1
100,0.25,0,15.9,0.891701770075036,NA,NA,level1,10,1
110,0.02,1,16.1,0.884863855426562,NA,NA,level1,11,1
120,0.25,1,18.6,0.835496188869151,NA,NA,level2,12,1
130,0.02,0,18.8,0.822425648890381,NA,NA,level2,13,1
140,0.25,0,21.3,0.827156684619649,NA,NA,level1,14,1
150,0.14,0,22.7,0.863622078256658,NA,NA,level1,15,1
160,0.14,0,24.1,0.904183881162317,NA,NA,level1,16,1
170,0.25,0,26.6,0.924621415979098,NA,NA,level1,17,1
180,0.14,0,28,0.948891662991094,NA,NA,level2,18,1
190,0.14,0,29.4,0.948260745824347,NA,NA,level2,19,1
200,0.25,0,31.9,0.965059463352851,NA,NA,level2,20,1
210,0.14,0,33.3,0.96875965259428,NA,NA,level2,21,1
220,0.02,1,33.5,0.975644776437486,NA,NA,level2,22,1
230,0.25,0,36,0.975047242915586,NA,NA,level2,23,1
240,0.25,0,38.5,0.981947203934279,NA,NA,level1,24,1
250,0.14,0,39.9,0.975235405277448,NA,NA,level2,25,1
260,0.14,0,41.3000000000001,0.987714144279392,NA,NA,level1,26,1
270,0.02,0,41.5000000000001,0.988096875965259,NA,NA,level2,27,1
280,0.25,0,44.0000000000001,0.985511835345119,NA,NA,level2,28,1
290,0.02,1,44.2000000000001,0.986696786132906,NA,NA,level2,29,1
300,0.25,1,46.7000000000001,0.980575776827299,NA,NA,level1,30,1
310,0.14,0,48.1000000000001,0.984090164166603,0.695177694075514,-0.0132234477449793,level2,31,1
310,0.14,0,48.1000000000001,0.984090164166603,0.695177694075514,0.00376289007674879,level2,31,1
